Iteration	Mach	Pressure [Pa]	Velocity [m/s]	Temperature [K]	Density [kg/m^3]	Speed of Sound [m/s]	Y_O2	Y_N2	Y_H2	Y_OH	Y_O	Y_H	Y_H2O	Y_NO	Y_N	Y_HO2	Y_H2O2	Y_HNO	Y_NO2	Mass flow rate [kg/s]	Area [m^2]	Axial location
63	2.000000	5.949381e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
64	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
65	2.000000	5.949384e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
66	1.999999	5.949387e+04	1401.75	1311.94	1.564763e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
67	1.999999	5.949389e+04	1401.75	1311.95	1.564763e-01	700.87	0.208810	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
68	1.999998	5.949395e+04	1401.75	1311.95	1.564763e-01	700.87	0.208810	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
69	1.999996	5.949405e+04	1401.74	1311.95	1.564764e-01	700.87	0.208809	0.785529	0.005660	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
70	1.999991	5.949431e+04	1401.74	1311.95	1.564765e-01	700.87	0.208808	0.785529	0.005660	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
71	1.999981	5.949486e+04	1401.74	1311.97	1.564768e-01	700.88	0.208805	0.785529	0.005660	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000005	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
72	1.999981	5.949486e+04	1401.74	1311.97	1.564768e-01	700.88	0.208805	0.785529	0.005660	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000005	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
73	1.999958	5.949605e+04	1401.74	1311.99	1.564774e-01	700.88	0.208799	0.785529	0.005659	0.000000	0.000000	0.000000	0.000004	0.000000	0.000000	0.000009	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
74	1.999958	5.949606e+04	1401.74	1311.99	1.564774e-01	700.88	0.208799	0.785529	0.005659	0.000000	0.000000	0.000000	0.000004	0.000000	0.000000	0.000009	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
75	1.999931	5.949753e+04	1401.73	1312.02	1.564781e-01	700.89	0.208792	0.785529	0.005659	0.000000	0.000000	0.000000	0.000006	0.000000	0.000000	0.000013	0.000001	0.000000	0.000000	877.359576	4.000000	0.000000
76	1.999931	5.949754e+04	1401.73	1312.02	1.564781e-01	700.89	0.208792	0.785529	0.005659	0.000000	0.000000	0.000000	0.000006	0.000000	0.000000	0.000013	0.000001	0.000000	0.000000	877.359576	4.000000	0.000000
77	1.999898	5.949930e+04	1401.72	1312.06	1.564790e-01	700.90	0.208785	0.785529	0.005658	0.000000	0.000000	0.000000	0.000008	0.000000	0.000000	0.000017	0.000002	0.000000	0.000000	877.359576	4.000000	0.000000
78	1.999859	5.950136e+04	1401.71	1312.10	1.564801e-01	700.91	0.208778	0.785529	0.005658	0.000000	0.000000	0.000000	0.000011	0.000000	0.000000	0.000021	0.000003	0.000000	0.000000	877.359576	4.000000	0.000000
79	1.999815	5.950371e+04	1401.70	1312.15	1.564813e-01	700.92	0.208770	0.785529	0.005657	0.000000	0.000000	0.000000	0.000014	0.000000	0.000000	0.000026	0.000004	0.000000	0.000000	877.359576	4.000000	0.000000
80	1.999765	5.950638e+04	1401.69	1312.21	1.564826e-01	700.93	0.208761	0.785529	0.005657	0.000000	0.000000	0.000000	0.000018	0.000000	0.000000	0.000030	0.000006	0.000000	0.000000	877.359576	4.000000	0.000000
81	1.999709	5.950935e+04	1401.67	1312.27	1.564841e-01	700.94	0.208752	0.785529	0.005656	0.000000	0.000000	0.000000	0.000022	0.000000	0.000000	0.000034	0.000007	0.000000	0.000000	877.359576	4.000000	0.000000
82	1.999647	5.951263e+04	1401.66	1312.34	1.564858e-01	700.95	0.208743	0.785529	0.005655	0.000000	0.000000	0.000000	0.000026	0.000000	0.000000	0.000038	0.000009	0.000000	0.000000	877.359576	4.000000	0.000000
83	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
